name,pattern,score
"ACCOUNT_NAME",(?i)(.*ACCOUNT_NA.*|.*ACCT_NA.*|.*PAYPAL[_-]?ID.*),1.0
"ACCOUNT_NUMBER","(?i).*ACCOUNT_NU.*|(?i).*ACCT_NU.*|(?i)ACCOUNT",1.0
"ADDRESS","(?i)ADDRESS.*|(?i)ADR[_0-1]|.*(?i)ADDR.*",1.0
"AFFILIATE_ID","(?i)AFF.*ID",0.95
"AFFILIATE_NAME","(?i)AFF.*NAME",0.95
"AGE","(?i)AGE|(?i).*[_]{1}AGE|(?i)AGE[_]{1}.*",0.5
"ALIEN_REGISTRATION_NUMBER","(?i).*ALIEN.*",0.8
"ALTERNATIVE_IDENTITY","(?i)ALT.*_ID_?",0.9
"AUDIO","(?i).*AUDIO.*",1.0
"AUTHENTICATION_CREDENTIALS ","(?i).*AUTH.*|(?i).*CREDENTIAL.*",0.6
"BANK_ACCOUNT","(?i)(BANK|BK|BNK)_(ACCOUNT|ACCT|ACCNT)",1.0
"BUSINESS_NAME","(?i)ORGANIZATION|(?i)PARTY|(?i)CONTRACTOR|.*(?i)COMPANY.*|.*(?i)SUPPLIER.*",0.8
"CARDHOLDER_NAME","(?i).*CARD.*NAME.*",0.6
"CITY","(?i)CITY.*|(?i)TOWN.*",1.0
"COUNTRY","(?i)COUNTRY",1.0
"COUNTRY","(?i)CN",0.3
"COUNTY","(?i)COUNTY",1.0
"CREDIT_CARD",(?i)CREDIT_CARD.*|(?i)PAYMENT[METHOD]?|(?i)PAYMENT[_]METHOD|(?i)PYMT|(?i)PYMNT,0.9
"CREDIT_CARD","(?i)CC",0.4
"CREDIT_SCORE","(?i)CREDIT_?SCORE",1.0
"DATE_OF_BIRTH","(?i)DOB|(?i)B[_]?DATE|(?i)BIRTHD[ATE]?|(?i)BIRTHDAY",0.9
"DEBIT_CARD","(?i).*DEBIT_CARD.*",1.0
"DEPARTMENT","(?i)DEPARTMENT",1.0
"DEVICE_ID","(?i)(IMEI|imei|LCCID|lccid|IMSI|imsi)",1.0
"DRIVER_LICENSE","(?i).*DRIVER.*|(?i).*DR.*[_]?LIC.*",1.0
"EMAIL","(?i)E.?MAIL.*|(?i)ELECTRONIC_MAIL.*",1.0
"FEDERAL_ISSUED_IDENTIFIER","(?i).*FEDERAL.*|(?i).*GOVERNMENT.*",0.4
"FINGERPRINTS","(?i)FINGER.*",1.0
"FIRST_NAME","(?i)FIRST[_]?NAME|(?i)NAME[_]?FIRST",1.0
"FIRST_NAME","(?i)FIRST[_]?N|(?i)N[_]?FIRST|(?i)F[_]?NAME|(?i)NAME[_]?F|(?i)N[_]?F|(?i)F[_]?N",0.8
"FQDN","(?i)FQDN",1.0
"FULL_NAME","(?i)FULL_?NAME",1.0
"GENDER","(?i)GENDER",1.0
"HAND_GEOMETRY","(?i)HAND.*",0.6
"HOUSE","(?i)HOUSE_?N|(?i)STREET_?NUM",1.0
"IDENTITY","^(?i)ID(.*)?ESB|^(?i)ID(.*)?VAL",0.85
"IDENTITY","^(?i)IDENTITY$",0.5
"IP_ADDRESS","(?i)(?<![A-Z])IP[_]?ADDR.*",1.0
"IRIS_PATTERNS","(?i)IRIS.*",0.6
"KEY","(?i)KEY|.*(?i)TOKEN.*",0.9
"LANGUAGE","(?i).*LANG.*|(?i).*LANGUAGE.*",1.0
"LAST_NAME","(?i)LAST[_]?NAME|(?i)NAME[_]?LAST",1.0
"LAST_NAME","(?i)LAST[_]?N|(?i)N[_]?LAST|(?i)L[_]?NAME|(?i)NAME[_]?L|(?i)N[_]?L|(?i)L[_]?N|(?i)L.*NAME",0.8
"LATITUDE","(?i)LATITUDE|(?i)LAT|(?i)PHI",0.9
"LICENSE_KEY","(?i)PROD.*KEY|(?i)LICENSE",0.95
"LINE","(?i)LINE.*",1.0
"LONGITUDE","(?i)LONGITUDE|(?i)LONG|(?i)LAMBDA",0.9
"LOT","(?i)LOT_?N",0.9
"MAC_ADDRESS","(?i).*MAC[_]?ADDR.*",1.0
"MIDDLE_NAME","(?i)MIDDLE_NAME|(?i)NAME_MIDDLE",1.0
"MIDDLE_NAME","(?i)MIDDLE[_]?N|(?i)N[_]?MIDDLE|(?i)M[_]?NAME|(?i)NAME[_]?M|(?i)N[_]?M|(?i)M[_]?N|(?i)M.*NAME",0.8
"NAME","(?i)CUST.*PARTY|(?i)CUST.*NAME|(?i)TECH.*NAME|(?i)CONT.*NAME",0.85
"NAME","(?i).*_NAME_?.*",0.8
"NAME","(?i).*NAME.*",0.75
"NATIONAL_ID","(?i).*NATIONAL[_]?(ID|NUM.*)",0.9
"NOTES",".*((?<=^)|(?<=[_-]))(?i)NOTE[S]?((?=$)|(?=[_-](?!(?i)(ID|DATE)))).*",0.9
"OCCUPATION","(?i)OCCUPATION|(?i)JOB[_]?TITLE",1.0
"ORIGIN","(?i).*ORIGIN.*",0.5
"OWNER","(?i).*OWNER.*",1.0
"PASSPORT","(?i).*PASSPORT.*",1.0
"PASSWORD","(?i)PASSWORD|(?i)PASSWD|(?i)SECRET",1.0
"PAYMENT_CODE","(?i)CC[_]?CODE|(?i)CVV|(?i)CVC.*|(?i)CID|(?i)PAY.*[_]?CODE",1.0
"PHOTOGRAPHS",(?i)(.*PHOTO.*|.*PICTURE.*),1.0
"PIN","(?i).*[_]?PIN[_]?[N]?.*",1.0
"POSTAL_CODE","(?i)ZIP.*|(?i).*[_]?POSTAL[_].*",0.9
"RACE_ETHNICITY","(?i).*RACE.*",0.5
"REGION_ID","(?i).*REGION[_]?(ID|NUM.*)|(?i)_REGION",0.9
